bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
1,0,0.01,1,212,2,126.213196388115,0.0328724891776121,0.999739615740356
2,0.01,0.02,1,133,2,22.1447103014416,0.00448372261463319,0.999797567233834
3,0.02,0.03,1,134,2,47.5298463019673,0.00320147669142574,0.999932647350821
4,0.03,0.04,1,133,2,21.5552752130097,0.00236583796941249,0.999890255248066
5,0.04,0.05,1,133,2,51.3746850777098,0.00218622733589836,0.999957447246585
6,0.05,0.06,1,133,2,23.4228048294104,0.0013946120103317,0.999940462767412
7,0.06,0.07,1,134,2,48.4392108685005,0.00151555256154111,0.999968713256932
8,0.07,0.08,1,133,2,34.9947493604813,0.00193267300398699,0.999944775536088
9,0.08,0.09,1,134,2,36.6048573127237,0.00103405120384169,0.999971751781877
10,0.09,0.1,1,133,2,45.0794129417436,0.000911340579178869,0.999979784072238
11,0.1,0.11,1,133,2,27.9789496639957,0.00122985414412655,0.999956045523463
12,0.11,0.12,1,134,2,51.9949992447955,0.00161720399431296,0.999968897899426
13,0.12,0.13,1,133,2,23.2585137541636,0.00109124274699947,0.99995308420985
14,0.13,0.14,1,133,2,53.8385149320264,0.00126497185031701,0.999976504884445
15,0.14,0.15,1,134,2,26.9228528172454,0.00111799530155485,0.999958475838897
16,0.15,0.16,1,133,2,46.8653166911697,0.000563902043646947,0.999987967748893
17,0.16,0.17,1,133,2,28.6911342075418,0.000960286996671532,0.999966531303706
18,0.17,0.18,1,134,2,28.4536310164421,0.00148319269729529,0.999947876058891
19,0.18,0.19,1,133,2,52.2897962951292,0.0014353964604838,0.999972549958874
20,0.19,0.2,1,133,2,32.8066431204509,0.000770962879813854,0.999976500345993
21,0.2,0.21,1,134,2,96.005651280715,0.00110294898602502,0.999988511756336
22,0.21,0.22,1,133,2,30.0789170611433,0.00100105996630595,0.999966719990318
23,0.22,0.23,1,133,2,64.8560030305174,0.00138685770644966,0.999978616812844
24,0.23,0.24,1,133,2,24.6171876655202,0.00137733309012483,0.999944053071728
25,0.24,0.25,1,134,2,57.0337271861886,0.00111244926598633,0.999980495267926
26,0.25,0.26,1,133,2,30.2951206144246,0.00111751722854997,0.999963113663693
27,0.26,0.27,1,133,2,93.6530578704062,0.00113956562555157,0.999987832199125
28,0.27,0.28,1,134,2,30.1693763080713,0.00102820017061544,0.999965920239142
29,0.28,0.29,1,133,2,55.1919621298722,0.00119570906036586,0.999978335918668
30,0.29,0.3,1,134,2,32.1131506139921,0.00101339183925325,0.999968444084701
31,0.3,0.31,1,133,2,41.4383506025726,0.000884352576337507,0.999978659051566
32,0.31,0.32,1,133,2,40.2429111875966,0.000904126062978502,0.999977533788585
33,0.32,0.33,1,134,2,77.144212931265,0.00125276026914073,0.999983761064141
34,0.33,0.34,1,133,2,34.9582482178437,0.00123950487379787,0.99996454453556
35,0.34,0.35,1,133,2,51.4273459012111,0.00099842054720843,0.999980586181407
36,0.35,0.36,1,134,2,43.2343209601093,0.00120109565038284,0.999972219702845
37,0.36,0.37,1,133,2,43.5860985819175,0.000940192368543624,0.999978429542474
38,0.37,0.38,1,133,2,32.6560289696403,0.0011882963756782,0.99996361305478
39,0.38,0.39,1,134,2,45.7767318382249,0.00123168007348216,0.999973094476494
40,0.39,0.4,1,133,2,30.4494819002557,0.000578409883620632,0.999981004639146
41,0.4,0.41,1,133,2,45.3667147735997,0.000588412903085983,0.999987030022466
42,0.41,0.42,1,134,2,27.4415840950206,0.000381270964466722,0.999986106280677
43,0.42,0.43,1,133,2,46.1990767003287,0.000906053941971265,0.999980388435494
44,0.43,0.44,1,133,2,33.1303712886053,0.000857963655061593,0.999974104080216
45,0.44,0.45,1,134,2,39.180255765213,0.000936260890899991,0.99997610432857
46,0.45,0.46,1,133,2,37.9844742992525,0.000782755975658654,0.999979393163655
47,0.46,0.47,1,133,2,32.9072242071332,0.000676812517416663,0.999979433130147
48,0.47,0.48,1,134,2,41.0264269661018,0.00106569708588311,0.999974024805887
49,0.48,0.49,1,133,2,28.2488942051656,0.000884031002461285,0.999968706621515
50,0.49,0.5,1,133,2,45.5796799502531,0.0015669285417278,0.999965623394509
51,0.5,0.51,1,134,2,29.9859875491189,0.00108426981863933,0.999963842090845
52,0.51,0.52,1,133,2,42.3717393366142,0.000606698110511892,0.999985681743701
53,0.52,0.53,1,133,2,26.5306589876012,0.00112148871759393,0.999957730363456
54,0.53,0.54,1,134,2,32.8266359222407,0.00101072059867456,0.99996921129895
55,0.54,0.55,1,133,2,54.1486326628072,0.00188266789987972,0.999965232687291
56,0.55,0.56,1,133,2,28.0210514692776,0.00108260349223697,0.999961366129738
57,0.56,0.57,1,134,2,113.352655825404,0.00113104195034185,0.999990022018835
58,0.57,0.58,1,133,2,20.5822951284792,0.000948101605195435,0.999953938181918
59,0.58,0.59,1,133,2,88.7146694387044,0.000629946148424064,0.999992899238882
60,0.59,0.6,1,134,2,31.7173241531771,0.00119366668384579,0.999962366883263
61,0.6,0.61,1,133,2,72.6960931145911,0.000715374935524212,0.999990159472604
62,0.61,0.62,1,133,2,43.915000536687,0.00143233978891636,0.999967384878618
63,0.62,0.63,1,134,2,98.9906549076443,0.00063158965206416,0.999993619744986
64,0.63,0.64,1,133,2,51.732380441821,0.000782317264675064,0.999984877838065
65,0.64,0.65,1,133,2,62.8441190889148,0.00106461444059511,0.999983059729038
66,0.65,0.66,1,134,2,72.1693209582803,0.000980423077522731,0.999986415145028
67,0.66,0.67,1,133,2,31.1861383611629,0.000636818095232692,0.999979580508354
