bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
1,0,0.01,1,212,2,123.18064822715,0.0582516907251827,0.999527327079648
2,0.01,0.02,1,133,2,21.013003171345,0.00470944414578748,0.999775929748782
3,0.02,0.03,1,134,2,46.0406460268725,0.00179561825169653,0.999961000803008
4,0.03,0.04,1,133,2,20.8260389839371,0.00090563158470641,0.999956516349305
5,0.04,0.05,1,133,2,50.3836006016258,0.000823248871653645,0.999983660647304
6,0.05,0.06,1,133,2,22.9633086411166,0.000740522720625662,0.999967752955268
7,0.06,0.07,1,134,2,47.0617066290456,0.00096430331573732,0.999979510229729
8,0.07,0.08,1,133,2,34.4555342615216,0.000790581705634077,0.999977055541784
9,0.08,0.09,1,134,2,36.2862969244047,0.000826915805543096,0.999977211866965
10,0.09,0.1,1,133,2,44.3176790163241,0.000364966948322023,0.999991764822733
11,0.1,0.11,1,133,2,27.0902406113526,0.000597689623262696,0.999977937573706
12,0.11,0.12,1,134,2,51.0949885298844,0.000818889899282131,0.999983973442428
13,0.12,0.13,1,133,2,22.3106952663886,0.00122637238271958,0.999945035107125
14,0.13,0.14,1,133,2,52.7545676089481,0.000722654373732006,0.999986301764806
15,0.14,0.15,1,134,2,26.772907471558,0.00083061958501204,0.999968976331128
16,0.15,0.16,1,133,2,45.1765006250265,0.000564776270824935,0.999987498606521
17,0.16,0.17,1,133,2,27.8285031186227,0.000540020059564185,0.999980595090644
18,0.17,0.18,1,134,2,27.6949124629907,0.000545923037928654,0.999980288355213
19,0.18,0.19,1,133,2,51.7205477283632,0.000862499881737415,0.999983324122874
20,0.19,0.2,1,133,2,32.318932210877,0.00100493666186118,0.999968906602223
21,0.2,0.21,1,134,2,94.580191831805,0.000428361942145503,0.99999547093325
22,0.21,0.22,1,133,2,29.4658326896391,0.000968832855933067,0.999967121207397
23,0.22,0.23,1,133,2,63.4916559353526,0.000909567377475969,0.999985674427072
24,0.23,0.24,1,133,2,23.7872678656713,0.00057032975144296,0.999976024313485
25,0.24,0.25,1,134,2,56.088256678895,0.000932908041972234,0.999983367418056
26,0.25,0.26,1,133,2,29.7786959485649,0.000813416090363254,0.999972685376364
27,0.26,0.27,1,133,2,92.7093404301391,0.000922858969704519,0.999990045773392
28,0.27,0.28,1,134,2,29.4523587635702,0.000661144745808057,0.99997755256514
29,0.28,0.29,1,133,2,54.3466808649441,0.0010264044937303,0.999981114116026
30,0.29,0.3,1,134,2,32.277307492975,0.000609491849434155,0.999981117373537
31,0.3,0.31,1,133,2,40.8646784556221,0.000760041478037834,0.999981401362472
32,0.31,0.32,1,133,2,39.4905932547813,0.000359987143729959,0.999990884313642
33,0.32,0.33,1,134,2,75.9854269967242,0.000565506220771986,0.999992557757
34,0.33,0.34,1,133,2,33.6635491304626,0.000905840744452168,0.999973092071586
35,0.34,0.35,1,133,2,50.1156828888327,0.000979370252116038,0.99998045819079
36,0.35,0.36,1,134,2,42.8593852477328,0.00173358546968173,0.999959553424715
37,0.36,0.37,1,133,2,42.0427942156815,0.00151230114409921,0.999964030774452
38,0.37,0.38,1,133,2,31.4718494655292,0.00124171993697879,0.999960546616484
39,0.38,0.39,1,134,2,44.9965937725074,0.00071647123902845,0.999984077465183
40,0.39,0.4,1,133,2,29.6923489271561,0.000688990898847975,0.999976796213956
41,0.4,0.41,1,133,2,44.5719233983526,0.000634737396390934,0.999985759457771
42,0.41,0.42,1,134,2,26.9447625607809,0.000816323241284148,0.999969704742852
43,0.42,0.43,1,133,2,45.3858665655904,0.000558673634772062,0.999987690732817
44,0.43,0.44,1,133,2,32.7180908037503,0.000561871751121537,0.999982827173335
45,0.44,0.45,1,134,2,38.3291465219478,0.000701454807910026,0.999981699515001
46,0.45,0.46,1,133,2,37.2407217011846,0.00065420439610674,0.999982433398869
47,0.46,0.47,1,133,2,32.6789203043396,0.000473520165012745,0.999985510130098
48,0.47,0.48,1,134,2,40.8039317572621,0.000649010066566492,0.999984094676275
49,0.48,0.49,1,133,2,27.8698688070149,0.000332483816793717,0.999988070275728
50,0.49,0.5,1,133,2,45.4718509870458,0.000566257117024848,0.999987547239594
51,0.5,0.51,1,134,2,30.4112623640791,0.000390699033789617,0.999987152982675
52,0.51,0.52,1,133,2,41.8205797953739,0.000461128934422288,0.999988973757605
53,0.52,0.53,1,133,2,25.7770222255543,0.00035216869855805,0.999986338069457
54,0.53,0.54,1,134,2,31.9138560113345,0.00055901038191837,0.999982484078698
55,0.54,0.55,1,133,2,52.5328540998151,0.000632886772517313,0.999987952698197
56,0.55,0.56,1,133,2,27.3329993846495,0.000814959141927939,0.999970184946321
57,0.56,0.57,1,134,2,113.078336331186,0.000429829430651915,0.999996198849304
58,0.57,0.58,1,133,2,20.1461571497819,0.000474919934332758,0.999976426832401
59,0.58,0.59,1,133,2,86.9503755497057,0.00056087580161485,0.99999354951396
60,0.59,0.6,1,134,2,31.5635863207618,0.000537451053301932,0.999982972723805
61,0.6,0.61,1,133,2,71.7294724137744,0.000673468686590856,0.999990611078811
62,0.61,0.62,1,133,2,42.9976637021101,0.000939150428617072,0.999978158582691
63,0.62,0.63,1,134,2,97.2524784660472,0.000737618549079183,0.999992415484251
64,0.63,0.64,1,133,2,51.489494509046,0.000516510552441091,0.99998996872321
65,0.64,0.65,1,133,2,62.0893920439499,0.000448164461445827,0.999992782000083
66,0.65,0.66,1,134,2,71.3953512011166,0.000790605593976639,0.99998892649415
67,0.66,0.67,1,133,2,30.3633669599258,0.000453468589777554,0.999985065496259
68,0.67,0.68,1,133,2,63.9016500494048,0.000563564506504178,0.999991180829667
69,0.68,0.69,1,133,2,57.7947751791054,0.000603191561018754,0.999989563325338
70,0.69,0.7,1,134,2,42.1923979158582,0.000268760838291261,0.999993630152833
71,0.7,0.71,1,133,2,40.8673211810297,0.000510683114868707,0.999987504032106
72,0.71,0.72,1,134,2,48.1065685184393,0.000528359086045507,0.999989017024091
73,0.72,0.73,1,133,2,36.7831153634675,0.000503483787848635,0.999986312282379
74,0.73,0.74,1,133,2,36.8737192027513,0.000578142389624074,0.999984321263556
75,0.74,0.75,1,134,2,36.7480363435979,0.000862618742447623,0.999976526677892
76,0.75,0.76,1,133,2,35.1475507913678,0.000767476434635219,0.999978164632834
77,0.76,0.77,1,133,2,39.7093891490539,0.000450706627471775,0.999988650001382
78,0.77,0.78,1,134,2,31.0768671672917,0.0010293465628429,0.999966878499567
79,0.78,0.79,1,133,2,41.1892247444311,0.000419860079691622,0.999989806659326
80,0.79,0.8,1,133,2,31.108223780073,0.000431978631347639,0.999986113876643
81,0.8,0.81,1,134,2,40.5501865122151,0.000635328789991203,0.999984332529869
82,0.81,0.82,1,133,2,31.4447469382314,0.000795611941673627,0.999974698737018
83,0.82,0.83,1,133,2,37.8941892355884,0.000788853598001228,0.999979183162578
84,0.83,0.84,1,134,2,33.8251161760235,0.000779030896394946,0.999976969393075
85,0.84,0.85,1,133,2,35.0078821536274,0.000590030511818485,0.999983146065081
86,0.85,0.86,1,133,2,40.1012517244549,0.000990420953632898,0.999975302604028
87,0.86,0.87,1,134,2,33.6508346871039,0.000763427431437707,0.999977313783766
88,0.87,0.88,1,133,2,40.51947687902,0.000437757706669887,0.999989196480037
89,0.88,0.89,1,133,2,25.3179973333906,0.000726764361849852,0.999971295379694
90,0.89,0.9,1,134,2,32.1452310867503,0.000462626760540429,0.999985608437489
91,0.9,0.91,1,133,2,43.6525110382867,0.000418765593379116,0.999990406930411
92,0.91,0.92,1,133,2,45.3820264701004,0.0010146849769065,0.99997764175888
93,0.92,0.93,1,134,2,78.174540726899,0.000483355457975737,0.999993817009158
94,0.93,0.94,1,133,2,43.3587731134978,0.000663852619584362,0.999984689547051
95,0.94,0.95,1,133,2,54.690512890571,0.000472008976548998,0.999991369528682
