case,mode,repeatable_mean_um,measured_mean_um,paired_delta_um,paired_delta_ci95_low_um,paired_delta_ci95_high_um,average_gain
clean,standard,0.0002600242770882402,0.00026002427708824024,0.0,0.0,0.0,1.0
clean,raw_rcs,0.008469123048535346,0.008469123048535336,0.008209098771447106,0.008209098771447106,0.008209098771447106,0.8156154815716842
clean,transport_mean,0.00026002427709686295,0.00026002427709686263,8.622768297994465e-15,8.622768297994465e-15,8.622768297994465e-15,1.0
clean,transport_rcs,0.00026002427709686295,0.00026002427709686263,8.622768297994465e-15,8.622768297994465e-15,8.622768297994465e-15,1.0
independent_noise,standard,0.8570859721773779,2.1765340467561334,0.0,0.0,0.0,1.0
independent_noise,raw_rcs,0.606303622883386,2.08967403603402,-0.25078234929399196,-0.2581736153974642,-0.24339108319051972,0.48461697508382134
independent_noise,transport_mean,0.6832403980060294,2.111955707549943,-0.17384557417134847,-0.1846767602181847,-0.16301438812451224,1.0
independent_noise,transport_rcs,0.5737156728704592,2.079458743575341,-0.2833702993069187,-0.29440082205316154,-0.2723397765606759,0.5160876426638945
model_mismatch,standard,0.8368985755129097,2.168862434667461,0.0,0.0,0.0,1.0
model_mismatch,raw_rcs,0.6101850074482192,2.0911492086822276,-0.22671356806469045,-0.2337845916626968,-0.2196425444666841,0.5048795175220013
model_mismatch,transport_mean,0.6764742447574845,2.110692904502172,-0.16042433075542503,-0.17159296625633355,-0.1492556952545165,1.0
model_mismatch,transport_rcs,0.5945777905889644,2.085505252282633,-0.24232078492394515,-0.25384485264094736,-0.23079671720694295,0.5234570026357919
drift,standard,3.267151925114737,3.828854518957171,0.0,0.0,0.0,1.0
drift,raw_rcs,5.415287464464196,5.770397909391189,2.1481355393494592,2.1328479731425163,2.163423105556402,0.5334523624749439
drift,transport_mean,5.212697048939271,5.580261363645047,1.9455451238245336,1.931406336470573,1.9596839111784943,1.0
drift,transport_rcs,7.026936208544747,7.30332473210246,3.759784283430011,3.7435744554933885,3.775994111366633,0.5620750789074536
correlated_noise,standard,1.6300777389824395,2.042661887197731,0.0,0.0,0.0,1.0
correlated_noise,raw_rcs,1.52663316280699,2.0332840972449935,-0.10344457617544943,-0.10697018037028128,-0.09991897198061758,0.7074142056595079
correlated_noise,transport_mean,1.5329225110247893,2.1623959232989414,-0.09715522795765028,-0.1077456227040243,-0.08656483321127625,1.0
correlated_noise,transport_rcs,1.4553057331116954,2.149391064394763,-0.1747720058707438,-0.18669675920139003,-0.16284725254009755,0.7194696060334981
