case,mode,repeatable_mean_um,observed_mean_um,delta_vs_pair_mean_um,delta_ci95_low_um,delta_ci95_high_um,mean_gate
clean,standard,1.358534744053473e-06,1.3585347440534732e-06,-0.008797558574302127,-0.008797558574302127,-0.008797558574302127,1.0
clean,raw_rcs,3.956525130700841e-05,3.956525130700841e-05,-0.008759351857739172,-0.008759351857739172,-0.008759351857739172,0.882738278938197
clean,pair_mean,0.00879891710904618,0.008798917109046176,0.0,0.0,0.0,1.0
clean,pair_confidence,0.00879891710904618,0.008798917109046176,0.0,0.0,0.0,1.0
independent_noise,standard,0.8349844444435327,2.1637115896041497,0.24664766549002887,0.24203945421286913,0.25125587676718864,1.0
independent_noise,raw_rcs,0.5202787618866009,2.0609660113100166,-0.06805801706690282,-0.07015084484880413,-0.0659651892850015,0.4592947056378254
independent_noise,pair_mean,0.5883367789535039,2.07952368645219,0.0,0.0,0.0,1.0
independent_noise,pair_confidence,2.003889791322452,2.834028810837702,1.4155530123689481,1.333050200826415,1.4980558239114814,0.2681505159913094
model_mismatch,standard,0.8052197744281783,2.152237472589567,0.23651428172124087,0.23194609006414685,0.24108247337833488,1.0
model_mismatch,raw_rcs,0.5173122707998926,2.060024266335763,-0.05139322190704476,-0.05355167342621506,-0.049234770387874466,0.48061553485055064
model_mismatch,pair_mean,0.5687054927069374,2.073772352892302,0.0,0.0,0.0,1.0
model_mismatch,pair_confidence,2.0764245235582814,2.88591599795288,1.507719030851344,1.4211096365142986,1.5943284251883894,0.2657960526991615
drift,standard,1.417511231095983,2.4509024905671315,-1.1533589143389555,-1.1604764657501707,-1.1462413629277404,1.0
drift,raw_rcs,2.893362492733682,3.5183055960762797,0.3224923472987437,0.3086525790605102,0.3363321155369772,0.49233245046659246
drift,pair_mean,2.570870145434939,3.257811433391606,0.0,0.0,0.0,1.0
drift,pair_confidence,7.099676529016103,7.379701431030462,4.528806383581163,4.443723856810418,4.613888910351908,0.4219076262897272
correlated_noise,standard,1.5636428263179258,1.8618832399475578,0.2400452485750164,0.2316286463655148,0.24846185078451802,1.0
correlated_noise,raw_rcs,1.4713864790318054,1.875119387847434,0.14778890128889582,0.14204965452756402,0.15352814805022763,0.7486645363520699
correlated_noise,pair_mean,1.3235975777429094,1.9021930242598866,0.0,0.0,0.0,1.0
correlated_noise,pair_confidence,1.2537593125158453,1.9114461850389972,-0.06983826522706436,-0.07192078777179539,-0.06775574268233334,0.8533135645423878
